id,vorname,nachname,geschlecht,rat,partei,parteiZuordnung,farbe,kanton,infocube_url,infocube_id
93,Maya,Graf,w,NR,GP,GP,#A3DD57,BL,,
94,Edith,Graf-Litscher,w,NR,SP,SP,#CE2929,TG,,
95,Jean-Pierre,Grin,m,NR,UDC,SVP,#428953,VD,http://infocube.ch/de/p/6238466/giunta-giovanni,6238466
96,Andreas,Gross,m,NR,SP,SP,#CE2929,ZH,,
97,Jürg,Grossen,m,NR,glp,GLP,#77E599,BE,0,0
98,Hans,Grunder,m,NR,BDP,BDP,#D0B100,BE,http://infocube.ch/de/p/926284/koepe-christian-karoly,926284
99,Jean-Paul,Gschwind,m,NR,PDC,CVP,#FF8B07,JU,,
100,Bernhard,Guhl,m,NR,BDP,BDP,#D0B100,AG,,
101,Felix,Gutzwiller,m,SR,FDP.Die Liberalen,FDP,#5675D6,ZH,https://infocube.ch/de/p/888313/brogli-urs/mandates,888313
102,Barbara,Gysi,w,NR,SP,SP,#CE2929,SG,,
103,Brigitte,Häberli-Koller,w,SR,CVP,CVP,#FF8B07,TG,http://infocube.ch/de/p/864193/menzi-armin,864193
104,Philipp,Hadorn,m,NR,SP,SP,#CE2929,SO,,
105,Ursula,Haller Vannini,w,NR,BDP,BDP,#D0B100,BE,http://infocube.ch/de/search?q=Peter+St%C3%A4hli&defaultSearchEntryStatus=1&senden=Suchen,
106,Thomas,Hardegger,m,NR,SP,SP,#CE2929,ZH,,
107,Hansjörg,Hassler,m,NR,BDP,BDP,#D0B100,GR,0,0
108,Markus,Hausammann,m,NR,SVP,SVP,#428953,TG,,
109,Claude,Hêche,m,SR,PSS,SP,#CE2929,JU,,
110,Alfred,Heer,m,NR,SVP,SVP,#428953,ZH,,
111,Bea,Heim,w,NR,SP,SP,#CE2929,SO,,
112,Hans,Hess,m,SR,FDP.Die Liberalen,FDP,#5675D6,OW,,
113,Verena,Herzog,w,NR,SVP,SVP,#428953,TG,0,0
114,Lorenz,Hess,m,NR,BDP,BDP,#D0B100,BE,0,0
115,Hugues,Hiltpold,m,NR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,GE,https://infocube.ch/de/p/4757083/maudet-pierre-henri#activeMandates,4757083
117,Gabi,Huber,w,NR,FDP.Die Liberalen,FDP,#5675D6,UR,0,0
118,Ruth,Humbel,w,NR,CVP,CVP,#FF8B07,AG,0,0
119,Thomas,Hurter,m,NR,SVP,SVP,#428953,SH,0,0
120,Markus,Hutter,m,NR,FDP.Die Liberalen,FDP,#5675D6,ZH,http://infocube.ch/de/p/505270/vogt-valentin,505270
121,René,Imoberdorf,m,SR,CVP,CVP,#FF8B07,VS,,
122,Maja,Ingold,w,NR,EVP,EVP,#65ECEF,ZH,,
123,Claude,Janiak,m,SR,SP,SP,#CE2929,BL,,
124,Beat,Jans,m,NR,SP,SP,#CE2929,BS,http://infocube.ch/de/p/853105/wiener-freuler-daniel,853105
126,Rudolf,Joder,m,NR,SVP,SVP,#428953,BE,https://infocube.ch/de/p/1065079/durst-marcel,1065079
127,Francine,John-Calame,w,NR,PES,GP,#A3DD57,NE,,
128,Daniel,Jositsch,m,NR,SP,SP,#CE2929,ZH,https://infocube.ch/de/p/713874/kyburz-peter#activeMandates,713874
129,Hans,Kaufmann,m,NR,SVP,SVP,#428953,ZH,,
130,Peter,Keller,m,NR,SVP,SVP,#428953,NW,0,0
131,Karin,Keller-Sutter,w,SR,FDP.Die Liberalen,FDP,#5675D6,SG,Kein Eintrag,
132,Margrit,Kessler,w,NR,glp,GLP,#77E599,SG,,
133,Margret,Kiener Nellen,w,NR,SP,SP,#CE2929,BE,,
